206	L_ 110 / B_ {#akriya#} / M_ {#--yA#}	akriyA
207	L_ 111 / B_ {#akrUra#}	akrUra
208	L_ 111 / B_ {#akrUra#} / M_ {#--raH#}	akrUraH
209	L_ 112 / B_ {#akroDa#}	akroDa
210	L_ 112 / B_ {#akroDa#} / M_ {#--DaH#}	akroDaH
211	L_ 113 / B_ {#akroDana#}	akroDana
212	L_ 113 / B_ {#akroDana#} / M_ {#--naH#}	akroDanaH
213	L_ 114 / B_ {#aklikA#}	aklikA
214	L_ 115 / B_ {#aklinna#}	aklinna
215	L_ 116 / B_ {#aklizwa#}	aklizwa
216	L_ 116 / B_ {#aklizwa#} / S_ {#--karman, --kArin#}	aklizwakArin,aklizwakarman
217	L_ 116 / B_ {#aklizwa#} / S_ {#--varRa#}	aklizwavarRa
218	L_ 116 / B_ {#aklizwa#} / S_ {#--vrata#}	aklizwavrata
219	L_ 117 / B_ {#akz#}	akz
220	L_ 117 / B_ {#akz#} / M_ {%--<ab>Caus.</ab>%}	akz
221	L_ 118 / B_ {#akzaH#}	akzaH
222	L_ 118 / B_ {#akzaH#} / M_ {#--kzaM#}	akzaM
223	L_ 118 / B_ {#akzaH#} / S_ {#--agraM#}	akzAgraM
224	L_ 118 / B_ {#akzaH#} / S_ {#--agrakIlaH#} {#--lakaH#}	akzAgrakIlaH
225	L_ 118 / B_ {#akzaH#} / S_ {#--AvapanaM#}	akzAvapanaM
226	L_ 118 / B_ {#akzaH#} / S_ {#--AvApaH#}	akzAvApaH
227	L_ 118 / B_ {#akzaH#} / S_ {#--karRaH#}	akzakarRaH
228	L_ 118 / B_ {#akzaH#} / S_ {#--kuSala, --SOMqa#}	akzakuSala
229	L_ 118 / B_ {#akzaH#} / S_ {#--kUwaH#}	akzakUwaH
230	L_ 118 / B_ {#akzaH#} / S_ {#--kovida#}, {#--jYa#}	akzakovida
231	L_ 118 / B_ {#akzaH#} / S_ {#--kzetraM#}	akzakzetraM
232	L_ 118 / B_ {#akzaH#} / S_ {#--glahaH#}	akzaglahaH
233	L_ 118 / B_ {#akzaH#} / S_ {#--cakraM#}	akzacakraM
234	L_ 118 / B_ {#akzaH#} / S_ {#--jaM#}	akzajaM
235	L_ 118 / B_ {#akzaH#} / S_ {#--jaH#}	akzajaH
236	L_ 118 / B_ {#akzaH#} / S_ {#--tattvaM, --vidyA#}	akzatattvaM
237	L_ 118 / B_ {#akzaH#} / S_ {#--tattvaM, --vidyA#} / S_S_ {#°vida#}	
238	L_ 118 / B_ {#akzaH#} / S_ {#--darSakaH, --dfS#}	akzadarSakaH,akzadfS
239	L_ 118 / B_ {#akzaH#} / S_ {#--devin#}	akzadevin
240	L_ 118 / B_ {#akzaH#} / S_ {#--dyUtaH#}	akzadyUtaH
241	L_ 118 / B_ {#akzaH#} / S_ {#--dyUtaH#} / S_M_ ({#--taM#}	akzadyUtaM
